Number,Brand,Product_Name,Prices,Category
30,INTEL,INTEL Celeron G3900 Skylake Dual-Core 2.8 GHz LGA 1151 51W BX80662G3900 Desktop Processor INTEL HD Graphics 510,"1,034.99",CPU
31,INTEL,INTEL Core i9-9940X Skylake X 14-Core 3.3 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99940X Desktop Processor,"1,239.73",CPU
32,INTEL,INTEL Core i5-9500 6-Core 3.0 GHz LGA 1151 (300 Series) 65W CM8068403362610 Desktop Processor INTEL UHD Graphics 630 - OEM,472.99,CPU
33,AMD,AMD Ryzen 5 2600X Socket AM4 OEM Processor - YD260XBCM6IAF,918.38,CPU
34,INTEL,"INTEL CM8068403654319 INTEL XEON E-2134 PROCESSOR (8M CACHE, 3.5 GHZ) LGA1151","1,021.99",CPU
35,INTEL,INTEL Core i5-9500 Coffee Lake 6-Core 3.0 GHz (4.4 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i59500 Desktop Processor INTEL UHD Graphics 630,"1,736.26",CPU
36,AMD,AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,"4,901.99",CPU
37,CORSAIR,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,"6,381.99",CPU
38,Kingston,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,259.74,CPU
39,CORSAIR,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,"1,111.19",CPU
40,CORSAIR,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,"13,739.99",CPU
41,INTEL,INTEL Core i5-7500 Kaby Lake Quad-Core 3.4 GHz LGA 1151 65W BX80677I57500 Desktop Processor,"6,821.99",CPU
42,AMD,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022 Desktop Processor â€“ OEM - OEM,"9,074.99",CPU
43,INTEL,INTEL Core i7-9700KF Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700KF Desktop Processor Without Graphics,"1,542.38",CPU
44,INTEL,INTEL Xeon Gold 5122 4-Core Socket 3647 Processor CD8067303330702 - OEM/TRAY,383.35,CPU
45,INTEL,INTEL Xeon 5220 18 Core 2.20 GHz Processor LGA-3647 CD8069504214601,"1,405.54",CPU
46,INTEL,"INTEL Pentium Gold G5420 Coffee Lake Dual-Core, 4-Thread, 3.8 GHz LGA 1151 (300 Series) 54W BX80684G5420 Desktop Processor INTEL UHD Graphics 610",562.71,CPU
47,INTEL,INTEL Core i5-8600K Coffee Lake 6-Core 3.6 GHz (4.3 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I58600K Desktop Processor INTEL UHD Graphics 630,"3,015.99",CPU
48,INTEL,INTEL Corp. Xeon Gold 6150 Tray Processor (CD8067303328000),"1,278.57",CPU
49,AMD,AMD EPYC 7371 16-Core 32-Thread SP3 Server Processor PS7371BDVGPAF - OEM/TRAY,"1,054.83",CPU
50,INTEL,INTEL Xeon Gold 6234 8Core 3.30GHz Processor LGA-3647 OEM/4 Pack CD8069504283304,829.06,CPU
51,AMD,AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,757.51,CPU
52,INTEL,INTEL Pentium G4500 Skylake Dual-Core 3.5 GHz LGA 1151 47W BX80662G4500 Desktop Processor INTEL HD Graphics 530,"2,529.59",CPU
53,INTEL,INTEL Core i7-7700 Kaby Lake Quad-Core 3.6 GHz LGA 1151 65W BX80677I77700 Desktop Processor,"1,613.39",CPU
54,INTEL,INTEL Core i3-7100 Kaby Lake Dual-Core 3.9 GHz LGA 1151 51W BX80677I37100 Desktop Processor INTEL HD Graphics 630,675.3,CPU
55,AMD,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071 Desktop Processor - OEM,"1,237.72",CPU
56,INTEL,INTEL Core i7-4790K Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W BX80646I74790K Desktop Processor INTEL HD Graphics 4600,"1,829.72",CPU
57,AMD,AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,"7,164.12",CPU
58,AMD,AMD RYZEN 5 1500X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,"5,202.05",CPU
59,AMD,AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,"8,577.40",CPU
60,INTEL,INTEL Core i7-6850K Broadwell-E 6-Core 3.6 GHz LGA 2011-V3 140W BX80671I76850K Desktop Processor,389.99,CPU
61,INTEL,INTEL Core i7-9700 Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I79700 Desktop Processor INTEL UHD Graphics 630,"1,986.42",CPU
62,INTEL,INTEL Core i3-9100 Coffee Lake 4-Core 3.6 GHz(4.2 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I39100 Desktop Processor INTEL UHD Graphics 630,975.65,CPU
63,INTEL,INTEL Core i7-6700K 8M Skylake Quad-Core 4.0 GHz LGA 1151 91W BX80662I76700K Desktop Processor INTEL HD Graphics 530,851.94,CPU
64,INTEL,INTEL Core i7-8700K Coffee Lake 6-Core 3.7 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor INTEL UHD Graphics 630,"2,120.70",CPU
65,INTEL,INTEL Core i9-7960X Skylake X 16-Core 2.8 GHz LGA 2066 165W BX80673I97960X Desktop Processor,"1,728.98",CPU
66,INTEL,INTEL Core i9-7900X Skylake-X 10-Core 3.3 GHz LGA 2066 140W BX80673I97900X Desktop Processor,"5,362.69",CPU
67,INTEL,INTEL Core i9-7980XE Skylake X 18-Core 2.6 GHz LGA 2066 165W BX80673I97980X Desktop Processor,"1,623.44",CPU
68,Refurbished:,Refurbished: NEVER USED AMD OEM TRAY FX-6300 Vishera 6-Core 3.5 GHz (4.1 GHz Turbo) Socket AM3+ 95W  Desktop Processor,"2,891.75",CPU
69,INTEL,"INTEL Core i9-9900KF Coffee Lake 8-Core, 16-Thread, 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900KF Desktop Processor Without Graphics","1,973.30",CPU
70,INTEL,INTEL Core i5-9400 Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400 Desktop Processor INTEL UHD Graphics 630,202.63,CPU
71,INTEL,INTEL Core i5-7400 Kaby Lake Quad-Core 3.0 GHz LGA 1151 65W BX80677I57400 Desktop Processor,"1,213.81",CPU
72,INTEL,INTEL Core i7-7700K Kaby Lake Quad-Core 4.2 GHz LGA 1151 91W BX80677I77700K Desktop Processor,181.99,CPU
73,INTEL,INTEL Core i7-4770K Haswell Quad-Core 3.5 GHz LGA 1150 84W BX80646I74770K Desktop Processor INTEL HD Graphics,349.22,CPU
74,INTEL,INTEL Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99920X Desktop Processor,"4,232.86",CPU
75,INTEL,INTEL Core i7-6700 Skylake Quad-Core 3.4 GHz LGA 1151 65W BX80662I76700 Desktop Processor,637.78,CPU
76,INTEL,INTEL Core i9-9820X Skylake X 10-Core 3.3 GHz (4.1 GHz Turbo) LGA 2066 165W BX80673I99820X Desktop Processor,258.58,CPU
77,CORSAIR,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,192.99,CPU
78,Kingston,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,"2,445.77",CPU
79,CORSAIR,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,"1,086.23",CPU
80,CORSAIR,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,229.99,CPU
81,INTEL,INTEL Core i7-4790S Haswell Quad-Core 3.2 GHz LGA 1150 65W BX80646I74790S Desktop Processor INTEL HD Graphics 4600,"3,907.34",CPU
82,INTEL,INTEL Celeron G4930 Coffee Lake Dual-Cor 3.2 GHz LGA 1151 (300 Series) 54W BX80684G4930 Desktop Processor INTEL UHD Graphics 610,390.87,CPU
83,INTEL,INTEL Core i5-7640X Kaby Lake-X Quad-Core 4.0 GHz LGA 2066 112W BX80677I57640X Desktop Processor,150,CPU
84,Refurbished:,Refurbished: INTEL E8500 Wolfdale Dual-Core 3.167 GHz LGA 775 65W AT80570PJ0876M Desktop Processor,247.47,CPU
85,INTEL,INTEL Core i3-4130 Haswell Dual-Core 3.4 GHz LGA 1150 54W BX80646I34130 Desktop Processor INTEL HD Graphics 4400,189.42,CPU
86,INTEL,INTEL Core i9-7920X Skylake X 12-Core 2.9 GHz LGA 2066 140W BX80673I97920X Desktop Processor,41.26,CPU
87,INTEL,INTEL Core i3-4340 Haswell Dual-Core 3.6 GHz LGA 1150 54W BX80646I34340 Desktop Processor INTEL HD Graphics 4600,59.97,CPU
88,INTEL,INTEL Celeron G1820 Processor 2.7GHz LGA1150 CPU with Air CPU Cooler OEM,234.44,CPU
89,Refurbished:,Refurbished: INTEL Wolfdale Dual-Core 2.93 GHz LGA 775 65W Desktop ProcessorAT80571PH0773M never used. Replacement only.,112.49,CPU
90,AMD,AMD Ryzen 9 3900X Matisse 12-Core 3.8 GHz Socket AM4 105W 100-100000023BOX Desktop Processor,275.7,CPU
91,INTEL,INTEL Core i5-7500T Quad-core (4 Core) 2.70 GHz Processor - Socket H4 LGA-1151 Retail Pack - 1MB - 6MB Cache - 8 GT/s DMI - 64-bit Processing - 3.30 GHz Overclocking Speed - 14 nm,48.72,CPU
92,Refurbished:,Refurbished: INTEL Pentium G2140 Ivy Bridge Dual-Core 3.3 GHz LGA 1155 55W Desktop Processor INTEL HD Graphics,63.76,CPU
93,INTEL,"INTEL XEON PROCESSOR E5-2640 V4 (25M CACHE, 2.40 GHZ)",159.11,CPU
94,INTEL,INTEL Optane M.2 2280 32GB PCIe NVMe 3.0 x2 Memory Module/System Accelerator MEMPEK1W032GAXT,"1,014.82",CPU
95,Refurbished:,Refurbished: AMD Phenom II X4 960T Zosma Quad-Core 3.0GHz (3.4GHz Turbo Boost) Socket AM3 95W HD96ZTWFK4DGR Desktop Processor,131.28,CPU
96,Refurbished:,Refurbished: INTEL Core i5-2400 Sandy Bridge Quad-Core 3.1 GHz (3.4 GHz Turbo Boost) LGA 1155 95W Desktop Processor Like New,48.72,CPU
97,Refurbished:,Refurbished: AMD A10-5800K Trinity Quad-Core 3.8 GHz Socket FM2 AD580KWOA44HJ Desktop Processor,70.82,CPU
98,Refurbished:,Refurbished: AMD Athlon II X2 245 Regor Dual-Core 2.9 GHz Socket AM3 65W ADX245OCK23GM Desktop Processor - OEM Grade A,55.81,CPU
99,Refurbished:,Refurbished: AMD Athlon II X3 440 Rana Triple-Core 3.0 GHz Socket AM3 95W ADX440WFK32GM Desktop Processors,37.47,CPU
100,Refurbished:,Refurbished: AMD AD7600YBJABOX A8-7600 Socket FM2+ Kaveri Quad-Core 3.1GHz CPU Processor,97.34,CPU
101,Refurbished:,Refurbished: AMD Athlon II X4 620 Propus Quad-Core 2.6 GHz Socket AM3 95W ADX620WFK42GI DesktopProcessor,37.47,CPU
102,Refurbished:,Refurbished: AMD Phenom II X6 1055T Thuban 6-Core 2.8GHz (3.3GHz Turbo Boost) Socket AM3 95W HDT55TWFK6DGR Desktop Processor,89.83,CPU
103,Refurbished:,Refurbished: AMD Athlon 64 X2 4000+ Brisbane Dual-Core 2.1 GHz Socket AM2 65W ADO4000IAA5DD Processor,150,CPU
104,Refurbished:,Refurbished: AMD Athlon II X 260 Regor Dual-Core 3.2 GHz Socket AM3 65W ADX260OCK23GM Desktop Processor,84.39,CPU
105,Refurbished:,Refurbished: INTEL Celeron G1820 Processor 2.7GHz 5.0GT/s 2MB LGA 1150 CPU BX80646G1820,84.39,CPU
106,Refurbished:,Refurbished: INTEL Core i5-7640X X-Series Processor 4 Cores up to 4.2 GHz Turbo Unlocked LGA2066 X299 Series 112W,131.28,CPU
107,Refurbished:,Refurbished: AMD Athlon II X4 650 Propus Quad-Core 3.2 GHz Socket AM3 95W ADX650WFK42GM Desktop Processor,105.03,CPU
108,Refurbished:,Refurbished: AMD Athlon 64 X2 4800+ Brisbane Dual-Core 2.5 GHz Socket AM2 65W ADO4800IAA5DO Processor,48.72,CPU
109,Refurbished:,Refurbished: AMD Athlon 64 X2 5400+ Brisbane Dual-Core 2.8 GHz Socket AM2 65W ADO5400IAA5DO Desktop Processor,74.98,CPU
110,Refurbished:,Refurbished: AMD Athlon II X2 255 Regor Dual-Core 3.1 GHz Socket AM3 65W ADX2550CK23GM Desktop Processor,37.47,CPU
111,Refurbished:,Refurbished: AMD Athlon II X2 220 Regor Dual-Core 2.8 GHz Socket AM3 65W ADX220OCK22GM Desktop Processor,48.72,CPU
112,Refurbished:,Refurbished: AMD Phenom 9650 Agena Quad-Core 2.3 GHz Socket AM2+ HD9650WCJ4BGH Desktop Processor,183.75,CPU
113,Refurbished:,Refurbished: AMD Phenom 8650 Toliman Triple-Core 2.3 GHz Socket AM2+ 95W HD8650WCJ3BGH Desktop Processor,302.99,CPU
114,Refurbished:,Refurbished: AMD Phenom 9600 Agena Quad-Core 2.3 GHz Socket AM2+ HD960ZWCJ4BGD Desktop Processor,"2,758.87",CPU
115,Refurbished:,Refurbished: AMD Phenom X4 9750 Agena Quad-Core 2.4 GHz Socket AM2+ 95W HD9750WCJ4BGH Desktop Processor,"2,575.55",CPU
116,Refurbished:,Refurbished: AMD Phenom X4 9550 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9550WCJ4BGH Desktop Processor,,CPU
117,CORSAIR,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,,CPU
118,Kingston,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,,CPU
119,CORSAIR,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,,CPU
120,CORSAIR,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,,CPU
121,Refurbished:,Refurbished: AMD Phenom X4 9500 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9500WCJ4BGD Desktop Processor,,CPU
122,Refurbished:,Refurbished: AMD Phenom II X4 830 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX830WFK4DGM Desktop Processor,,CPU
123,Refurbished:,Refurbished: AMD Phenom II X4 820 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX820WFK4FGI Desktop Processor,,CPU
124,Refurbished:,Refurbished: AMD Athlon 64 X2 4400+ Brisbane Dual-Core 2.3 GHz Socket AM2 ADO4400IAA5DD Processor,,CPU
125,Refurbished:,Refurbished: AMD Athlon II X2 245e Regor Dual-Core 2.9 GHz Socket AM3 45W AD245EHDK23GM Desktop Processor,,CPU
126,Refurbished:,Refurbished: AMD Phenom 8450 Toliman Triple-Core 2.1 GHz Socket AM2+ HD8450WCJ3BGH Desktop Processor,,CPU
127,Refurbished:,Refurbished: AMD Athlon 64 X2 4200+ Brisbane Dual-Core 2.2 GHz Socket AM2 ADO4200IAA5DD Desktop Processor,,CPU
128,Refurbished:,Refurbished: INTEL Core 2 Duo E7200 Wolfdale-3M Dual-Core 2.53 GHz LGA 775 65W SLAPC Desktop Processor,,CPU
129,AMD,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,,CPU
130,INTEL,INTEL Core i7-7820X Skylake-X 8-Core 3.6 GHz LGA 2066 140W BX80673I77820X Desktop Processor,,CPU
131,INTEL,INTEL Xeon W2133 Processor Tray CD8067303533204,,CPU
0,CORSAIR,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,"1,058.99",GPU
1,Kingston,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,"1,542.99",GPU
2,CORSAIR,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,"1,096.99",GPU
3,CORSAIR,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,586.99,GPU
4,SAPPHIRE,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,"1,208.99",GPU
5,MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,756.99,GPU
6,GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,453.99,GPU
7,SAPPHIRE,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,"1,021.99",GPU
8,EVGA,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate","1,511.99",GPU
9,ASRock,"ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card, RX5500XT PGD 8GO",754.99,GPU
10,GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,794.99,GPU
11,ASRock,ASRock Challenger D Radeon RX 5600 XT DirectX 12 RX5600XT CLD 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,"1,586.99",GPU
12,EVGA,"EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card, 08G-P4-3062-KR, 8GB GDDR6, Dual Fans","1,511.99",GPU
13,MSI,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 8G OC 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,"2,795.99",GPU
14,EVGA,"EVGA GeForce GTX 1660 BLACK GAMING Video Card, 06G-P4-1160-KR, 6GB GDDR5, Single Fan","1,624.99",GPU
15,MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"2,022.99",GPU
16,GIGABYTE,"GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2070WF2-8GD (Rev 3.0) Video Card",868.99,GPU
17,GIGABYTE,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WHITE-8GD Video Card","1,700.99",GPU
18,SAPPHIRE,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,679.99,GPU
19,MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,791.99,GPU
20,GIGABYTE,"GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card, 170mm Compact Size, 6GB 192-Bit GDDR6, GV-N166SIXOC-6GD Video Card",680.99,GPU
21,SAPPHIRE,"SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, SPECIAL EDITION","1,058.99",GPU
22,MSI,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 4G OC 4GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,"1,548.99",GPU
23,GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,604.99,GPU
24,MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,680.99,GPU
25,GIGABYTE,"GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TOC-6GD Video Card","1,246.99",GPU
26,SAPPHIRE,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,"1,431.99",GPU
27,GIGABYTE,"GIGABYTE GeForce GTX 1650 OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR5, GV-N1650OC-4GD Video Card","1,504.99",GPU
28,SAPPHIRE,SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P4GL 4GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,831.99,GPU
29,MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"1,095.99",GPU
30,MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,"1,625.99",GPU
